Leerstehende Wohnungen (Anzahl) nach Kanton 1995 bis 2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gemeindenummer,Ort,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AG,Kanton Aargau,3237,3870,4950,5511,5164,5063,4417,3378,2844,2985,3336,3834,3932,3943,3634,4185,4335,4631,4881,4957,5975,6687,7323,8437,8377,8733,7009,5696,4778
AI,Kanton Appenzell I.Rh.,68,121,110,117,107,135,119,104,86,113,75,74,41,66,86,73,50,62,88,82,63,282,186,150,163,174,215,139,134
AR,Kanton Appenzell A.Rh.,154,273,270,321,402,481,513,489,513,478,499,521,479,413,296,325,534,452,459,502,549,562,577,628,669,482,605,549,359
BE,Kanton Bern,4250,5360,6419,7012,6800,6702,6388,5335,5116,4852,5252,5332,5671,5621,5483,6102,6583,6626,6980,7761,8012,9309,10262,10317,10641,10678,9312,8633,7817
BL,Kanton Basel-Landschaft,451,502,632,644,668,687,679,498,506,494,662,739,897,630,683,595,572,589,492,427,528,645,809,1060,1492,1617,1404,1353,1359
BS,Kanton Basel-Stadt,550,804,1249,1578,1602,1360,1466,1383,1420,1502,1586,1471,1468,1294,969,783,522,500,361,245,361,452,546,782,1124,1073,1235,1328,1229
FR,Kanton Freiburg,1548,1771,2248,2197,2218,1862,1847,1347,1046,1029,1122,1209,1305,1273,1030,1138,994,1024,883,1070,1345,1763,1953,2229,2770,2927,2853,2851,2253
GE,Kanton Genf,2737,2905,3081,3168,2692,1715,779,508,355,314,408,329,414,431,467,496,556,727,801,863,921,1034,1167,1222,1260,1169,1232,911,1041
GL,Kanton Glarus,273,355,508,537,568,653,673,592,525,450,411,489,420,428,377,382,270,294,342,338,461,372,378,362,391,422,399,405,294
GR,Kanton Graubünden,1182,1356,1775,1740,1705,1451,1400,1405,1227,1171,1184,1147,1265,1161,1205,1189,1428,1538,1486,1935,2231,2567,2906,2740,2928,2448,1536,1089,1057
JU,Kanton Jura,538,641,703,637,686,668,636,590,583,574,642,660,695,698,625,693,670,691,730,832,866,778,861,974,997,984,1014,1192,1292
LU,Kanton Luzern,1261,1851,2405,2660,2349,2202,1944,1296,1089,1238,1552,1725,1668,1339,1068,1188,1402,1326,1269,1471,1731,1995,2178,2814,2991,3037,2513,1885,2009
NE,Kanton Neuenburg,1624,1575,1747,1649,1314,1507,1191,970,940,1017,1037,1068,1079,1044,930,1117,1061,1060,738,952,1181,1071,1444,1927,2281,2266,2289,2159,1824
NW,Kanton Nidwalden,118,128,179,176,169,114,123,114,109,113,130,149,195,205,166,179,199,318,484,257,294,296,333,414,329,392,274,172,188
OW,Kanton Obwalden,129,171,214,209,235,157,132,128,126,140,136,167,157,161,132,146,165,135,130,123,111,128,129,150,187,200,212,106,96
SG,Kanton St. Gallen,2714,3462,4041,5058,5013,4976,4665,3981,3605,3594,3463,3596,3424,3256,3141,3381,3398,3442,3607,3950,4394,4412,4651,5607,5618,6291,5426,4527,3834
SH,Kanton Schaffhausen,536,686,887,882,907,1109,1134,671,527,545,497,574,576,548,388,411,399,415,449,457,548,686,845,1036,1088,870,691,729,480
SO,Kanton Solothurn,2463,3131,3298,3267,3037,3079,2550,2241,1959,2052,2205,2312,2405,2175,2013,2399,2603,2491,2373,2736,3044,3478,3757,4052,4674,4490,4446,3798,3445
SZ,Kanton Schwyz,849,1149,1168,1044,918,779,581,515,304,281,310,345,399,453,513,631,487,556,529,635,659,699,1110,1120,1136,1042,802,588,413
TG,Kanton Thurgau,1828,2278,2782,3339,3177,2989,2777,2506,2072,1923,1935,2060,1937,1797,1652,1558,1677,1687,1771,1874,2055,2290,2598,3212,3575,3395,3070,2382,2066
TI,Kanton Tessin,3711,3382,3645,3157,2419,2252,2085,1918,1750,1209,1707,1733,1777,1510,1585,1458,1680,1828,1819,1847,2284,2795,3764,4826,5534,6639,7017,6262,5489
UR,Kanton Uri,105,190,296,278,275,286,242,219,224,198,150,125,146,150,128,131,139,136,121,145,231,264,372,277,376,289,358,179,138
VD,Kanton Waadt,7475,7999,8327,7664,5715,4380,3204,2398,1761,1861,1791,2179,2106,1621,1503,1627,1902,2080,2281,2606,2626,3183,3653,4385,4512,5699,5704,4719,4230
VS,Kanton Wallis,4611,4583,4621,4356,4122,3686,2729,2529,2105,1868,2216,2572,2735,2788,2233,2207,2260,2564,2992,3719,4228,4428,5625,5987,5372,6251,6028,4988,4583
ZG,Kanton Zug,249,440,356,366,190,129,132,147,133,186,166,188,132,133,144,145,143,253,189,212,260,196,250,257,244,416,204,196,254
ZH,Kanton Zürich,3706,5497,6632,6631,5622,4186,2803,2360,2114,3393,4330,5154,5131,3980,4310,4174,4388,3859,4168,5359,5518,6146,6597,7329,6654,6848,5517,4660,4103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Datenbank:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BFS - STAT-TAB / Bundesamt für Statistik, 2010 Neuchâtel / Schweiz / © Bundesamt für Statistik",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interner Referenzcode:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
px-x-0902020300_101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
